0,1
138.95999999999998,402.0
141.17999999999998,604.0
145.315,806.0
150.077,1008.0
150.077,1209.0
150.077,1410.0
150.87499999999997,1612.0
165.528,1814.0
165.528,2015.0
165.528,2216.0
165.528,2417.0
165.528,2618.0
166.69099999999997,2820.0
174.47299999999998,3022.0
174.47299999999998,3223.0
174.47299999999998,3424.0
174.47299999999998,3625.0
174.47299999999998,3826.0
174.47299999999998,4027.0
176.27399999999997,4229.0
179.81799999999998,4431.0
181.135,4633.0
183.96899999999997,4835.0
183.96899999999997,5036.0
183.96899999999997,5237.0
185.76699999999997,5439.0
185.76699999999997,5640.0
188.49599999999998,5842.0
188.49599999999998,6043.0
188.49599999999998,6244.0
188.49599999999998,6445.0
189.646,6647.0
192.682,6849.0
192.682,7050.0
192.682,7251.0
192.682,7452.0
193.463,7654.0
193.70399999999998,7856.0
195.15099999999998,8058.0
195.35999999999999,8260.0
197.74199999999996,8462.0
198.33199999999997,8664.0
198.379,8866.0
198.379,9067.0
199.38,9269.0
199.38,9470.0
200.42499999999998,9672.0
200.42499999999998,9873.0
201.56599999999997,10075.0
201.56599999999997,10276.0
202.1,10478.0
202.33999999999997,10680.0
202.33999999999997,10881.0
203.248,11083.0
203.248,11284.0
203.248,11485.0
203.248,11686.0
203.802,11888.0
203.802,12089.0
204.01,12291.0
204.63899999999998,12493.0
204.63899999999998,12694.0
205.66899999999998,12896.0
205.855,13098.0
205.855,13299.0
205.855,13500.0
206.541,13702.0
206.547,13904.0
207.72899999999998,14106.0
207.72899999999998,14307.0
207.72899999999998,14508.0
207.72899999999998,14709.0
208.064,14911.0
208.064,15112.0
208.17899999999997,15314.0
208.373,15516.0
208.48,15718.0
208.48,15919.0
209.269,16121.0
209.269,16322.0
209.269,16523.0
209.269,16724.0
209.269,16925.0
209.78199999999998,17127.0
209.78199999999998,17328.0
209.78199999999998,17529.0
210.326,17731.0
210.326,17932.0
210.326,18133.0
210.326,18334.0
210.938,18536.0
210.938,18737.0
210.938,18938.0
210.946,19140.0
210.966,19342.0
210.986,19544.0
211.125,19746.0
211.302,19948.0
211.302,20149.0
211.74699999999999,20351.0
211.74699999999999,20552.0
211.869,20754.0
211.94199999999998,20956.0
212.44899999999998,21158.0
212.44899999999998,21359.0
212.44899999999998,21560.0
212.469,21762.0
212.469,21963.0
212.50699999999998,22165.0
212.50699999999998,22366.0
212.611,22568.0
212.611,22769.0
212.66699999999997,22971.0
212.66699999999997,23172.0
212.66699999999997,23373.0
212.66699999999997,23574.0
212.68399999999997,23776.0
212.68399999999997,23977.0
212.76,24179.0
212.76,24380.0
212.765,24582.0
212.767,24784.0
212.767,24985.0
212.767,25186.0
212.767,25387.0
212.767,25588.0
212.803,25790.0
212.903,25992.0
212.903,26193.0
212.903,26394.0
212.903,26595.0
212.903,26796.0
212.92,26998.0
212.92,27199.0
212.92,27400.0
212.92,27601.0
212.92,27802.0
212.92,28003.0
212.92,28204.0
212.92,28405.0
212.92,28606.0
212.92,28807.0
212.92,29008.0
